Model,MSE,MAE,RMSE,MAPE
Baseline Linear Regression,0.16549292430022278,0.31273750735720457,0.40680821562527814,0.1417053873826744
Linear Regression with Lag Features,0.15852163490788604,0.3062157026694777,0.39814775512099276,0.13705839156898417
Lasso Regression,0.16446927352895213,0.31166440781382676,0.4055481149369975,0.1399519656127008
Decision Tree,0.18056923113710513,0.32274701393855465,0.42493438450789683,0.1460058057762966
Random Forest,0.16450969194476417,0.3039166993396564,0.4055979437136783,0.1369771622176609
ARIMA,0.1645073486951841,0.3114559122582431,0.4055950550674701,0.1415212753041329
